Feature,Mutual_Information,RF_Importance,Combined_Score
Oxygen_Saturation,0.6574542669781923,0.36688026049377054,1.0
Fatigue_Level,0.5063599069381584,0.1610932809501051,0.6046361181321219
Symptom_Severity_Index,0.5329399962836663,0.13671409305294127,0.5916255272401587
Pulmonary_Stress_Index,0.31419027397574095,0.08456235886237738,0.3541897589401528
Chest_Pain,0.17132562808764296,0.06223932083451851,0.2151171011736877
Chronic_Cough,0.1553674066668933,0.04846817024715294,0.18421281855343247
Breathlessness,0.13877679349093985,0.020508670460802948,0.13349111135136535
Heart_Rate,0.10638202487186055,0.02108487968097233,0.109639875098175
Cigarettes_Pack_Years,0.09094235897448044,0.01085427144056838,0.08395516018282874
Wheezing,0.08079257167550669,0.014572701187577936,0.08130378782813812
Smoking_Intensity_Years,0.0822637228790013,0.01078981994874243,0.07726714060426101
Pack_Years,0.0686130949212842,0.010821788643184999,0.06692928113762626
Age,0.0688715286680075,0.009457952178068621,0.06526712811699452
Environmental_Exposure_Index,0.06355515862170869,0.011303879292885916,0.06373968780327269
Years_Smoked,0.06112016704330059,0.005800828430381947,0.054388062951011805
Radon_Exposure,0.03693589254773677,0.004672436182590248,0.03445787950973902
Smoking_Intensity,0.027120589095249947,0.0015283576678187607,0.022708367485787192
Cigarettes_Per_Day,0.021139304157726135,0.002188232884101864,0.019058851401263795
Radon_Asbestos_Interaction,0.016960096452406592,0.0028375826654276786,0.016765487070152105
Asbestos_Exposure,0.019116488882148897,0.0010955847598377577,0.016031374564258793
PM25_Level,0.008481682927682588,0.003017272813911616,0.01056246518886179
BP_Systolic,0.006773811493355764,0.003232807992432803,0.009557353793827782
BP_Diastolic,0.0031997417277387363,0.0024062912887077726,0.005712828891748706
BMI,0.0,0.003869158041120089,0.005273052897303241
